"";"desc";"Estimate";"Std. Error";"z-value";"p-value";"low0.95CI";"high0.95CI"
"GESTATIONAL_AGE_ABCD12";"BIRTH_WEIGHT~LTPA_EE+GESTATIONAL_AGE";150,274771440539;4,49531286873178;33,4292130111368;5,16080279848701e-245;141,464120118585;159,085422762493
"(Intercept)_ABCD20";"BIRTH_WEIGHT~LTPA_EE+GESTATIONAL_AGE+SEX";-2473,47489872295;177,8883067654;-13,9046514281851;5,93553181774146e-44;-2822,12957325395;-2124,82022419195
"LTPA_EE_ABCD2";"BIRTH_WEIGHT~LTPA_EE+GESTATIONAL_AGE+SEX";1,52375527288073;0,356533444550093;4,27380739779838;1,92163044893193e-05;0,824962562278537;2,22254798348292
"GESTATIONAL_AGE_ABCD13";"BIRTH_WEIGHT~LTPA_EE+GESTATIONAL_AGE+SEX";150,402627973914;4,44044357617899;33,8710818848723;1,77631607033202e-251;141,699518489221;159,105737458607
"SEX1_ABCD6";"BIRTH_WEIGHT~LTPA_EE+GESTATIONAL_AGE+SEX";-137,918834848586;10,8137976292596;-12,753968548053;2,96270241308028e-37;-159,11348873804;-116,724180959133
"(Intercept)_ABCD21";"MACROSOMIA~LTPA_EE+";-1,96527234195819;0,0478467977171703;-41,0742711262562;0;-2,05905034225942;-1,87149434165696
"LTPA_EE_ABCD3";"MACROSOMIA~LTPA_EE+";0,00791967657455179;0,00217409350185443;3,6427488366055;0,000269742008299605;0,00365853161189454;0,012180821537209
"(Intercept)_ABCD22";"MACROSOMIA~LTPA_EE+GESTATIONAL_AGE";-24,5504051219521;1,39538321272961;-17,5940235614038;2,73733121000277e-69;-27,2853059635339;-21,8155042803703
"LTPA_EE_ABCD4";"MACROSOMIA~LTPA_EE+GESTATIONAL_AGE";0,00663025418550709;0,00228509413966337;2,90152342978913;0,00371353008151787;0,00215155197048335;0,0111089564005308
"GESTATIONAL_AGE_ABCD14";"MACROSOMIA~LTPA_EE+GESTATIONAL_AGE";0,560067159699217;0,034349547494507;16,3049355974422;9,10348380253853e-60;0,492743283724735;0,627391035673698
"(Intercept)_ABCD23";"MACROSOMIA~LTPA_EE+GESTATIONAL_AGE+SEX";-24,3281748843251;1,39843750981676;-17,3966835940441;8,74199128358396e-68;-27,0690620381958;-21,5872877304543
"LTPA_EE_ABCD5";"MACROSOMIA~LTPA_EE+GESTATIONAL_AGE+SEX";0,00644298385106968;0,0023087272303588;2,79070812972062;0,00525928745549056;0,00191796162943952;0,0109680060726998
"GESTATIONAL_AGE_ABCD15";"MACROSOMIA~LTPA_EE+GESTATIONAL_AGE+SEX";0,562068248936837;0,0344465307522855;16,3171221212036;7,45690772878698e-60;0,494554289270006;0,629582208603668
"SEX1_ABCD7";"MACROSOMIA~LTPA_EE+GESTATIONAL_AGE+SEX";-0,675502519557278;0,0769094797849739;-8,78308527694986;1,59050494521809e-18;-0,826242330005538;-0,524762709109018
"(Intercept)_ABCD24";"BIRTH_WEIGHT_LGA~LTPA_EE+";-1,95497709562587;0,00515421230825341;-379,296966967266;0;-1,96507916611872;-1,94487502513302
"LTPA_EE_ABCD6";"BIRTH_WEIGHT_LGA~LTPA_EE+";-0,000627061130858344;0,000258284036603504;-2,42779669663037;0,0151908560057892;-0,00113328854038284;-0,000120833721333852
"(Intercept)_ABCD25";"BIRTH_WEIGHT_LGA~LTPA_EE+GESTATIONAL_AGE";-2,25139627577524;0,128975547865131;-17,4559931168465;3,09940078359658e-68;-2,50418370447722;-1,99860884707327
"LTPA_EE_ABCD7";"BIRTH_WEIGHT_LGA~LTPA_EE+GESTATIONAL_AGE";-0,000659668836631331;0,000258587749282589;-2,55104442674287;0,0107400634272989;-0,00116649151206848;-0,000152846161194183
"GESTATIONAL_AGE_ABCD16";"BIRTH_WEIGHT_LGA~LTPA_EE+GESTATIONAL_AGE";0,00740812624415268;0,00322079154958248;2,30009490838146;0,0214428436835749;0,00109549080526007;0,0137207616830453
